Student_ID,Gender,Age,Ethnicity,Parental_Level_of_Education,Lunch,Test_Preparation_Course,Math_Score,Reading_Score,Writing_Score
80,Male,18,Group A,High School,Free/Reduced,Completed,55,42,49
81,Male,18,Group B,Some High School,Free/Reduced,None,7,77,8
82,Female,16,Group D,Some College,Standard,Completed,30,77,52
83,Male,17,Group E,Some High School,Standard,None,29,44,70
84,Female,16,Group C,Bachelor's Degree,Standard,Completed,11,29,32
85,Male,16,Group E,Master's Degree,Standard,None,75,6,44
86,Male,17,Group A,Associate's Degree,Standard,Completed,1,1,43
87,Female,18,Group D,Bachelor's Degree,Free/Reduced,None,29,88,21
88,Male,18,Group A,Master's Degree,Standard,None,52,86,41
89,Male,17,Group E,Master's Degree,Standard,None,95,54,22
90,Female,16,Group B,Associate's Degree,Free/Reduced,Completed,96,20,96
91,Female,16,Group A,Bachelor's Degree,Free/Reduced,Completed,68,23,83
92,Male,18,Group B,Associate's Degree,Free/Reduced,Completed,72,15,63
93,Female,15,Group B,Associate's Degree,Free/Reduced,Completed,5,22,94
94,Female,15,Group A,Associate's Degree,Free/Reduced,Completed,1,19,39
95,Male,15,Group A,Master's Degree,Standard,None,92,37,9
96,Female,16,Group C,Some College,Free/Reduced,None,31,23,0
97,Female,16,Group C,Associate's Degree,Standard,Completed,7,97,17
98,Male,18,Group D,Some High School,Free/Reduced,None,9,57,81
99,Male,15,Group E,High School,Standard,Completed,7,54,46
100,Female,18,Group E,Bachelor's Degree,Standard,Completed,16,61,36
101,Female,18,Group B,Associate's Degree,Standard,None,56,88,62
102,Female,18,Group D,Master's Degree,Free/Reduced,None,23,84,92
103,Female,17,Group C,Master's Degree,Free/Reduced,None,36,60,8
104,Female,15,Group E,Associate's Degree,Free/Reduced,Completed,5,39,90
105,Female,15,Group E,High School,Free/Reduced,None,40,51,59
106,Male,17,Group B,Some High School,Standard,None,44,17,74
107,Male,17,Group E,Bachelor's Degree,Free/Reduced,None,77,97,69
108,Male,15,Group C,High School,Standard,Completed,83,40,76
109,Female,17,Group C,High School,Standard,Completed,31,78,90
110,Female,18,Group D,Associate's Degree,Free/Reduced,Completed,37,8,78
111,Male,16,Group A,Bachelor's Degree,Free/Reduced,None,16,49,35
112,Female,18,Group A,Master's Degree,Free/Reduced,Completed,77,3,66
113,Female,15,Group E,High School,Free/Reduced,None,50,13,67
114,Male,17,Group E,Some High School,Standard,None,61,10,45
115,Male,16,Group E,Associate's Degree,Free/Reduced,Completed,84,22,54
116,Male,15,Group A,Master's Degree,Free/Reduced,None,15,35,49
117,Female,17,Group C,Bachelor's Degree,Free/Reduced,Completed,84,90,77
118,Male,16,Group C,Associate's Degree,Free/Reduced,None,9,12,36
119,Female,16,Group E,Master's Degree,Free/Reduced,None,9,11,64
120,Female,17,Group B,Some High School,Standard,Completed,32,47,72
121,Male,16,Group D,Associate's Degree,Standard,Completed,69,64,76
122,Female,15,Group E,Associate's Degree,Standard,Completed,26,32,28
123,Female,17,Group D,Associate's Degree,Standard,None,63,68,7
124,Male,18,Group B,Associate's Degree,Standard,None,90,66,3
125,Female,15,Group B,Master's Degree,Free/Reduced,None,94,81,47
126,Male,15,Group D,Associate's Degree,Free/Reduced,None,45,49,13
127,Male,17,Group E,Some High School,Standard,Completed,28,7,75
128,Male,17,Group D,Bachelor's Degree,Free/Reduced,None,56,0,80
129,Female,16,Group E,Associate's Degree,Free/Reduced,Completed,91,97,89
130,Male,15,Group E,Bachelor's Degree,Free/Reduced,Completed,38,68,93
131,Female,16,Group A,Master's Degree,Free/Reduced,None,46,1,43
132,Female,15,Group C,Master's Degree,Standard,Completed,99,13,55
133,Male,15,Group D,Master's Degree,Standard,Completed,70,60,57
134,Female,18,Group B,Some High School,Standard,None,37,75,44
135,Female,15,Group B,High School,Standard,None,83,66,84
136,Male,16,Group C,Master's Degree,Free/Reduced,Completed,31,50,51
137,Female,16,Group C,Some College,Free/Reduced,None,67,61,26
138,Male,18,Group D,Some High School,Standard,Completed,34,91,46
139,Female,16,Group C,Some High School,Standard,Completed,40,63,46
140,Male,17,Group D,High School,Standard,None,89,71,99
141,Male,18,Group D,Master's Degree,Free/Reduced,None,69,16,64
142,Male,16,Group D,Master's Degree,Free/Reduced,None,64,25,37
143,Female,16,Group C,Bachelor's Degree,Free/Reduced,None,13,10,18
144,Female,17,Group B,Bachelor's Degree,Free/Reduced,Completed,6,22,23
145,Male,18,Group E,High School,Standard,Completed,44,73,57
146,Female,17,Group B,High School,Free/Reduced,None,52,76,81
147,Female,18,Group D,High School,Standard,None,90,45,92
148,Male,18,Group D,Master's Degree,Standard,None,79,56,11
149,Male,15,Group B,Associate's Degree,Standard,Completed,62,100,58
150,Male,16,Group C,Master's Degree,Standard,None,35,1,19
151,Male,16,Group D,High School,Free/Reduced,Completed,10,34,49
152,Male,15,Group E,Some High School,Standard,Completed,26,57,51
153,Female,17,Group E,Bachelor's Degree,Standard,Completed,17,17,17
154,Female,15,Group E,Bachelor's Degree,Standard,None,66,91,97
155,Male,16,Group D,Some High School,Standard,Completed,29,52,83
156,Male,16,Group A,High School,Standard,None,39,33,46
157,Female,15,Group A,Some College,Standard,None,94,21,51
158,Male,15,Group D,Master's Degree,Free/Reduced,None,70,81,46
159,Male,15,Group D,Master's Degree,Standard,None,26,54,3
160,Female,16,Group B,Master's Degree,Standard,Completed,15,9,33
161,Male,15,Group C,Some High School,Standard,None,47,18,48
162,Male,15,Group A,Associate's Degree,Standard,None,92,93,1
163,Male,17,Group C,Associate's Degree,Standard,Completed,100,14,60
164,Male,15,Group A,High School,Standard,Completed,18,21,2
165,Female,16,Group E,High School,Free/Reduced,Completed,4,6,84
166,Male,17,Group A,High School,Standard,None,30,26,5
167,Male,18,Group E,Some High School,Free/Reduced,None,89,67,10
168,Female,16,Group B,Associate's Degree,Standard,Completed,56,32,37
169,Male,16,Group D,Some High School,Free/Reduced,Completed,83,29,83
170,Female,18,Group B,Master's Degree,Free/Reduced,Completed,97,94,35
171,Female,16,Group C,Bachelor's Degree,Free/Reduced,None,58,97,14
172,Female,18,Group C,Master's Degree,Free/Reduced,Completed,14,61,28
173,Male,18,Group C,Bachelor's Degree,Standard,Completed,2,43,0
174,Male,16,Group A,Bachelor's Degree,Free/Reduced,Completed,63,29,48
175,Male,15,Group E,High School,Free/Reduced,Completed,4,55,65
176,Male,15,Group B,High School,Standard,Completed,34,44,82
177,Female,18,Group C,Some High School,Free/Reduced,Completed,35,89,53
178,Male,17,Group E,High School,Free/Reduced,Completed,75,75,23
179,Female,18,Group B,Associate's Degree,Standard,None,49,93,33
180,Male,18,Group A,High School,Standard,None,38,49,5
181,Female,18,Group D,Some High School,Standard,Completed,10,96,100
182,Male,15,Group E,Master's Degree,Standard,None,7,68,89
183,Male,15,Group D,Associate's Degree,Free/Reduced,None,35,6,65
184,Female,15,Group D,High School,Standard,None,78,59,56
185,Female,18,Group E,Associate's Degree,Standard,None,49,70,99
186,Male,17,Group A,Associate's Degree,Standard,None,63,44,13
187,Female,15,Group B,Some High School,Standard,None,2,81,0
188,Female,16,Group E,High School,Free/Reduced,Completed,48,21,0
189,Female,16,Group A,Some College,Free/Reduced,None,49,47,81
190,Male,16,Group B,Some College,Free/Reduced,Completed,56,33,52
191,Male,18,Group B,Bachelor's Degree,Standard,Completed,5,65,52
192,Male,16,Group C,Some College,Standard,Completed,28,22,69
193,Male,18,Group B,Master's Degree,Free/Reduced,None,26,39,76
194,Male,16,Group C,Bachelor's Degree,Free/Reduced,None,48,16,7
195,Male,17,Group A,Some College,Standard,None,23,15,86
196,Male,18,Group B,Bachelor's Degree,Standard,Completed,84,85,34
197,Male,16,Group D,Bachelor's Degree,Free/Reduced,None,55,71,97
198,Female,15,Group A,Associate's Degree,Standard,None,68,88,12
199,Female,18,Group C,Some College,Standard,Completed,6,96,62
200,Female,15,Group C,Bachelor's Degree,Free/Reduced,Completed,84,29,17
201,Female,15,Group E,High School,Free/Reduced,None,39,64,68
202,Female,15,Group A,High School,Free/Reduced,None,4,41,18
203,Female,15,Group A,Some College,Free/Reduced,None,69,32,0
204,Female,16,Group E,High School,Standard,None,97,46,60
205,Male,16,Group A,Some College,Standard,None,44,96,52
206,Male,18,Group B,Some College,Standard,None,3,34,21
207,Female,18,Group A,High School,Standard,Completed,77,6,24
208,Female,18,Group B,Associate's Degree,Free/Reduced,None,96,4,64
209,Female,16,Group C,Some College,Free/Reduced,Completed,43,86,92
210,Male,18,Group A,Some High School,Free/Reduced,Completed,33,54,14
211,Female,15,Group A,Some College,Standard,Completed,96,32,15
212,Male,16,Group B,Bachelor's Degree,Free/Reduced,None,75,39,44
213,Female,18,Group D,Some High School,Free/Reduced,None,27,83,84
214,Female,15,Group C,High School,Standard,Completed,96,47,20
215,Male,18,Group A,Some High School,Standard,None,3,36,17
216,Male,17,Group C,Master's Degree,Standard,Completed,43,83,29
217,Male,18,Group B,Master's Degree,Standard,Completed,92,59,18
218,Male,17,Group B,Bachelor's Degree,Free/Reduced,None,79,43,70
219,Female,18,Group A,Some High School,Free/Reduced,Completed,55,94,18
220,Male,18,Group E,Some High School,Free/Reduced,Completed,54,18,23
221,Male,16,Group C,Some College,Standard,Completed,100,25,22
222,Female,16,Group A,High School,Free/Reduced,Completed,93,9,71
223,Male,17,Group B,High School,Free/Reduced,None,94,14,19
224,Female,16,Group C,Bachelor's Degree,Free/Reduced,Completed,96,17,36
225,Female,15,Group D,Some College,Standard,None,7,24,1
226,Male,15,Group B,Some High School,Free/Reduced,Completed,13,19,68
227,Male,17,Group E,Master's Degree,Free/Reduced,Completed,70,91,35
228,Male,15,Group A,High School,Standard,None,49,57,60
229,Female,15,Group D,High School,Free/Reduced,None,92,36,41
230,Male,18,Group A,Master's Degree,Standard,Completed,86,98,19
231,Male,16,Group C,Master's Degree,Standard,Completed,36,68,67
232,Female,15,Group E,Master's Degree,Free/Reduced,Completed,68,78,24
233,Female,15,Group B,Some High School,Free/Reduced,None,59,97,45
234,Male,16,Group B,Some High School,Standard,Completed,54,94,77
235,Female,15,Group B,Some College,Free/Reduced,Completed,73,93,75
236,Male,15,Group C,Master's Degree,Free/Reduced,Completed,92,62,76
237,Male,16,Group B,Bachelor's Degree,Standard,Completed,72,87,38
238,Male,18,Group C,Master's Degree,Standard,None,98,79,4
239,Female,15,Group B,Associate's Degree,Standard,None,66,93,0
240,Female,16,Group B,Master's Degree,Standard,None,33,10,34
241,Female,15,Group D,Associate's Degree,Standard,None,20,57,11
242,Male,15,Group D,Bachelor's Degree,Standard,Completed,48,56,4
243,Male,18,Group E,Some High School,Free/Reduced,Completed,59,99,92
244,Female,17,Group B,Master's Degree,Standard,None,95,50,96
245,Female,17,Group A,Some High School,Standard,None,30,97,70
246,Male,16,Group E,High School,Standard,None,16,26,34
247,Female,17,Group A,Master's Degree,Standard,Completed,1,31,57
248,Female,16,Group C,Some High School,Standard,Completed,35,85,77
249,Female,17,Group A,Master's Degree,Free/Reduced,Completed,87,37,14
250,Male,18,Group C,Bachelor's Degree,Free/Reduced,None,35,82,29
251,Male,16,Group E,Master's Degree,Standard,None,10,82,47
252,Female,17,Group C,High School,Standard,None,31,86,100
253,Female,18,Group D,Master's Degree,Standard,None,98,95,13
254,Male,17,Group E,Associate's Degree,Free/Reduced,Completed,69,21,90
255,Male,15,Group E,High School,Standard,None,37,62,14
256,Male,15,Group B,Associate's Degree,Free/Reduced,None,43,21,31
257,Male,18,Group D,Associate's Degree,Free/Reduced,None,73,3,44
258,Male,15,Group D,Some High School,Free/Reduced,Completed,50,24,85
259,Male,15,Group D,Bachelor's Degree,Standard,Completed,4,71,3
260,Female,16,Group E,High School,Free/Reduced,Completed,78,68,99
261,Female,17,Group D,Bachelor's Degree,Standard,Completed,35,48,40
262,Female,16,Group D,Some High School,Standard,None,46,87,24
263,Male,17,Group D,Associate's Degree,Standard,Completed,34,21,40
264,Female,15,Group B,Bachelor's Degree,Standard,Completed,84,9,99
265,Male,16,Group D,Bachelor's Degree,Standard,None,32,60,56
266,Female,17,Group E,Some High School,Standard,Completed,100,45,18
267,Male,17,Group E,Some College,Standard,None,83,91,21
268,Male,16,Group C,Bachelor's Degree,Free/Reduced,Completed,98,1,98
269,Female,18,Group D,Some High School,Free/Reduced,None,77,83,82
270,Male,17,Group A,Associate's Degree,Standard,Completed,1,69,67
271,Male,15,Group B,High School,Free/Reduced,Completed,15,7,75
272,Male,17,Group C,Master's Degree,Free/Reduced,None,39,8,16
273,Male,15,Group B,Associate's Degree,Free/Reduced,Completed,72,77,0
274,Female,16,Group E,Associate's Degree,Standard,Completed,84,100,55
275,Male,17,Group D,Some College,Standard,Completed,41,49,37
276,Male,15,Group B,Some High School,Standard,None,33,31,15
277,Male,15,Group E,Some College,Free/Reduced,Completed,22,5,81
278,Male,16,Group E,Some High School,Standard,None,56,32,89
279,Female,17,Group A,High School,Standard,None,59,42,85
280,Female,17,Group E,High School,Standard,Completed,2,91,46
281,Female,16,Group A,Bachelor's Degree,Standard,None,56,81,62
282,Male,17,Group A,Some High School,Free/Reduced,None,1,24,71
283,Female,16,Group C,Some High School,Standard,None,59,4,5
284,Male,17,Group C,Master's Degree,Standard,None,4,49,76
285,Female,18,Group A,High School,Standard,Completed,45,77,97
286,Female,17,Group B,Associate's Degree,Standard,None,61,29,59
287,Female,15,Group C,Some College,Free/Reduced,None,81,41,67
288,Male,15,Group A,Associate's Degree,Standard,Completed,71,92,30
289,Female,18,Group D,Bachelor's Degree,Standard,None,27,69,3
290,Female,17,Group E,High School,Free/Reduced,None,52,64,16
291,Male,15,Group D,Some High School,Standard,Completed,7,18,69
292,Female,15,Group B,Bachelor's Degree,Standard,Completed,74,34,2
293,Male,17,Group B,Some High School,Free/Reduced,Completed,10,79,9
294,Male,16,Group A,High School,Free/Reduced,None,35,29,3
295,Female,17,Group C,Associate's Degree,Free/Reduced,Completed,78,42,38
296,Female,16,Group C,High School,Free/Reduced,None,70,29,13
297,Male,18,Group B,Associate's Degree,Free/Reduced,Completed,40,39,79
298,Male,18,Group B,Master's Degree,Free/Reduced,Completed,8,1,36
299,Female,15,Group E,Bachelor's Degree,Free/Reduced,None,56,4,91
300,Male,15,Group A,Some High School,Free/Reduced,None,23,89,42
301,Male,15,Group C,Associate's Degree,Standard,Completed,33,100,31
302,Female,16,Group B,High School,Free/Reduced,Completed,98,81,38
303,Female,15,Group B,Master's Degree,Standard,None,100,94,9
304,Male,17,Group A,Some High School,Standard,Completed,35,13,78
305,Male,16,Group A,Master's Degree,Standard,Completed,33,65,42
306,Male,18,Group B,Associate's Degree,Free/Reduced,None,63,8,97
307,Male,16,Group D,Associate's Degree,Free/Reduced,None,16,91,16
308,Male,15,Group D,High School,Standard,None,29,50,100
309,Female,17,Group A,Bachelor's Degree,Standard,Completed,80,56,97
310,Female,17,Group A,Master's Degree,Standard,None,22,60,65
311,Female,15,Group D,Associate's Degree,Free/Reduced,Completed,18,64,97
312,Female,17,Group E,Associate's Degree,Free/Reduced,None,79,36,12
313,Male,16,Group A,Master's Degree,Free/Reduced,Completed,83,65,83
314,Male,16,Group E,Some High School,Standard,None,6,8,33
315,Female,15,Group C,Bachelor's Degree,Standard,Completed,29,54,36
316,Female,17,Group B,High School,Standard,None,14,44,60
317,Female,18,Group E,Bachelor's Degree,Free/Reduced,None,83,22,71
318,Male,16,Group A,Some College,Standard,None,4,35,52
319,Female,16,Group B,Associate's Degree,Free/Reduced,None,23,32,58
320,Female,16,Group B,Bachelor's Degree,Free/Reduced,None,87,32,36
321,Male,16,Group E,Master's Degree,Standard,None,64,85,93
322,Female,18,Group C,Some High School,Free/Reduced,None,56,46,80
323,Female,15,Group A,Master's Degree,Standard,Completed,74,33,16
324,Female,16,Group C,Bachelor's Degree,Free/Reduced,Completed,40,33,70
325,Female,17,Group C,Some College,Free/Reduced,Completed,5,54,4
326,Female,18,Group B,Some College,Standard,None,70,6,22
327,Female,16,Group E,Some High School,Standard,None,91,68,10
328,Male,17,Group A,High School,Standard,None,29,26,82
329,Male,16,Group D,High School,Standard,Completed,7,68,65
330,Female,15,Group B,Associate's Degree,Standard,None,91,46,86
331,Male,18,Group B,Some College,Standard,None,33,88,71
332,Female,15,Group D,Associate's Degree,Standard,Completed,32,8,78
333,Male,18,Group A,Some College,Standard,None,2,60,28
334,Female,16,Group C,Master's Degree,Free/Reduced,None,86,77,2
335,Female,16,Group C,Associate's Degree,Free/Reduced,Completed,45,79,49
336,Male,18,Group B,Master's Degree,Free/Reduced,Completed,69,27,28
337,Male,17,Group D,Bachelor's Degree,Free/Reduced,Completed,91,57,96
338,Male,17,Group B,Some High School,Free/Reduced,None,5,90,44
339,Male,16,Group B,Some High School,Free/Reduced,Completed,76,100,63
340,Female,16,Group B,Master's Degree,Standard,None,30,70,71
341,Male,15,Group D,High School,Standard,None,44,13,82
342,Female,16,Group C,Some College,Free/Reduced,None,13,1,90
343,Female,18,Group B,Some College,Standard,None,9,82,3
344,Male,17,Group A,Master's Degree,Standard,Completed,64,87,86
345,Male,17,Group E,Some College,Standard,None,56,83,29
346,Female,15,Group D,Associate's Degree,Free/Reduced,None,14,96,59
347,Female,17,Group B,Master's Degree,Standard,Completed,65,92,71
348,Female,17,Group A,Master's Degree,Standard,Completed,9,85,74
349,Female,18,Group D,Bachelor's Degree,Free/Reduced,Completed,30,41,98
350,Male,17,Group E,Some College,Standard,Completed,26,30,14
351,Male,15,Group E,Master's Degree,Free/Reduced,Completed,41,82,85
352,Male,15,Group A,Associate's Degree,Free/Reduced,None,73,76,18
353,Female,17,Group D,High School,Free/Reduced,None,47,15,12
354,Female,16,Group B,High School,Standard,None,87,18,28
355,Female,17,Group E,Master's Degree,Free/Reduced,Completed,53,68,84
356,Male,15,Group D,Associate's Degree,Standard,Completed,9,58,79
357,Female,15,Group B,Associate's Degree,Free/Reduced,Completed,82,64,92
358,Male,18,Group B,Master's Degree,Standard,None,54,65,91
359,Female,17,Group A,Some College,Standard,Completed,36,84,56
360,Female,17,Group C,Some College,Standard,Completed,18,32,32
361,Male,18,Group A,Some High School,Free/Reduced,Completed,3,68,30
362,Female,15,Group A,High School,Free/Reduced,Completed,41,94,92
363,Female,18,Group A,Some College,Standard,Completed,77,49,51
364,Male,16,Group A,High School,Free/Reduced,None,100,79,76
365,Male,17,Group A,Associate's Degree,Standard,Completed,46,72,73
366,Male,15,Group A,Associate's Degree,Standard,Completed,42,74,1
367,Female,18,Group A,Master's Degree,Free/Reduced,Completed,52,54,40
368,Male,15,Group E,Bachelor's Degree,Free/Reduced,None,83,75,42
369,Male,16,Group D,High School,Standard,None,47,67,70
370,Male,17,Group B,High School,Standard,Completed,60,65,41
371,Male,18,Group E,Master's Degree,Free/Reduced,Completed,37,99,44
372,Female,15,Group E,Bachelor's Degree,Standard,Completed,79,19,63
373,Male,17,Group B,Master's Degree,Standard,Completed,3,97,100
374,Male,17,Group D,Master's Degree,Standard,Completed,20,88,47
375,Male,15,Group A,Associate's Degree,Free/Reduced,Completed,47,76,75
376,Female,17,Group B,Some High School,Standard,Completed,5,7,73
377,Male,17,Group B,Some High School,Free/Reduced,None,37,39,39
378,Male,18,Group E,Bachelor's Degree,Free/Reduced,None,19,40,89
379,Male,17,Group D,Associate's Degree,Free/Reduced,Completed,75,61,98
380,Female,18,Group A,High School,Free/Reduced,Completed,3,74,2
381,Male,17,Group B,High School,Free/Reduced,Completed,13,89,69
382,Female,16,Group B,Some College,Standard,Completed,77,17,97
383,Female,16,Group B,High School,Standard,Completed,27,61,35
384,Male,18,Group D,Bachelor's Degree,Free/Reduced,Completed,40,13,23
385,Male,18,Group E,High School,Standard,None,65,35,73
386,Female,16,Group A,Some High School,Standard,None,91,57,94
387,Male,17,Group E,Associate's Degree,Free/Reduced,None,99,87,0
388,Male,18,Group D,Some High School,Free/Reduced,Completed,94,17,53
389,Male,15,Group E,Some High School,Standard,Completed,65,32,77
390,Male,17,Group D,Master's Degree,Free/Reduced,Completed,100,48,55
391,Male,17,Group D,Some High School,Standard,Completed,74,29,72
392,Female,16,Group D,Associate's Degree,Free/Reduced,Completed,91,4,81
393,Female,18,Group D,Bachelor's Degree,Standard,None,44,11,6
394,Female,17,Group D,Associate's Degree,Free/Reduced,None,27,93,88
395,Female,18,Group C,High School,Free/Reduced,None,48,76,38
396,Male,18,Group A,High School,Free/Reduced,Completed,74,69,45
397,Female,18,Group E,Bachelor's Degree,Standard,Completed,4,95,19
398,Male,16,Group D,Master's Degree,Standard,Completed,84,48,66
399,Female,18,Group D,Some High School,Standard,Completed,92,90,77
400,Female,16,Group A,Some College,Free/Reduced,Completed,19,32,69
401,Male,15,Group A,Associate's Degree,Standard,None,48,22,54
402,Female,17,Group D,High School,Free/Reduced,None,97,34,1
403,Female,17,Group C,Bachelor's Degree,Free/Reduced,None,83,16,48
404,Female,15,Group D,Some High School,Standard,None,10,26,8
405,Female,16,Group C,Bachelor's Degree,Free/Reduced,None,9,71,93
406,Female,17,Group C,High School,Free/Reduced,Completed,28,83,6
407,Female,16,Group A,Master's Degree,Standard,Completed,72,28,49
408,Female,16,Group C,Some High School,Free/Reduced,None,64,75,42
409,Female,16,Group D,Master's Degree,Standard,Completed,73,57,53
410,Female,15,Group C,Some High School,Free/Reduced,None,80,20,58
411,Male,15,Group C,High School,Free/Reduced,None,70,66,30
412,Male,16,Group C,Bachelor's Degree,Free/Reduced,None,93,30,29
413,Female,18,Group D,Master's Degree,Standard,Completed,53,30,57
414,Male,15,Group E,Associate's Degree,Free/Reduced,Completed,68,72,96
415,Female,18,Group A,Bachelor's Degree,Standard,None,93,13,34
416,Male,18,Group D,Associate's Degree,Standard,Completed,15,19,47
417,Male,16,Group C,Bachelor's Degree,Standard,None,67,14,56
418,Male,18,Group B,Bachelor's Degree,Free/Reduced,Completed,6,82,5
419,Female,18,Group B,Associate's Degree,Free/Reduced,Completed,77,84,10
420,Female,18,Group D,Some High School,Free/Reduced,Completed,60,70,51
421,Female,16,Group E,High School,Standard,Completed,84,63,40
422,Male,16,Group B,Some High School,Standard,Completed,67,3,18
423,Female,15,Group A,Bachelor's Degree,Free/Reduced,Completed,66,50,56
424,Female,15,Group C,Bachelor's Degree,Standard,None,56,20,53
425,Male,18,Group A,Bachelor's Degree,Free/Reduced,None,40,72,11
426,Male,16,Group E,Bachelor's Degree,Free/Reduced,None,34,26,28
427,Male,16,Group E,Some High School,Free/Reduced,None,24,22,53
428,Male,18,Group E,Some High School,Free/Reduced,None,73,66,84
429,Male,15,Group D,Some High School,Free/Reduced,None,37,65,71
430,Male,16,Group E,Associate's Degree,Free/Reduced,None,31,6,8
431,Female,15,Group A,High School,Standard,None,42,91,38
